القسم,اسم المنتج,السعر,رابط الصورة
بطاطا,Cheese fries,12,https://images.taker.io/shawermagy/1f5aec1ade01af3f1bc0edce88ec0b48.jpg
بطاطا,Shawermagy Mix,14,https://images.taker.io/shawermagy/a73a08a5ee1989070623c5f58145a984.jpg
بطاطا,Spicy potatoes,12,https://images.taker.io/shawermagy/e2e9272e64d75f97da6dcf6c8cc19822.jpg
بطاطا,potatoes,8,https://images.taker.io/shawermagy/df3f3a7e4f433d3484f497376647face.jpg
بطاطا,Big potato,13,https://images.taker.io/shawermagy/df3f3a7e4f433d3484f497376647face.jpg
المشروبات,بيبسى,4,https://images.taker.io/shawermagy/e2af58b5e6eabd003e27d6cc6d5242ef.jpg
المشروبات,مياة معدنية,1,https://images.taker.io/shawermagy/94f6148a0431bd1af9cbc8b2cee0da2e.jpg
المشروبات,سفن اب,4,https://images.taker.io/shawermagy/7aa3ed554de5a547062f003b122aa284.jpg
المشروبات,بيبسي دايت,4,https://images.taker.io/shawermagy/6f7260baba3893be1103ab766c6f088f.jpg
المشروبات,سفن اب دايت,4,https://images.taker.io/shawermagy/ac0c795a4691ca5e6c4d0bd8d474e9fd.jpg
المشروبات,ماونتن ديو,4,https://images.taker.io/shawermagy/1c417819a454d4d9880fdd197fd0b0c9.jpg
المشروبات,ميرندا برتقال,4,https://images.taker.io/shawermagy/1dec05922c775ff52b340206e74f596e.jpg
المشروبات,حمضيات,4,https://images.taker.io/shawermagy/41f6beccb7cdf88f290cbe143fb430dc.jpg
المشويات,Shish tawook sandwich,13,https://images.taker.io/shawermagy/6df4563aeed162734d6ee868b9edc136.jpg
المشويات,Chicken kebab sandwich,12,https://images.taker.io/shawermagy/3fc440f9c54442ca2773bec0f1839f92.jpg
المشويات,Awsal sandwich,14,https://images.taker.io/shawermagy/69668a58ca81ade71eaa6747c0aff856.jpg
المشويات,Meat kebab sandwich,13,https://images.taker.io/shawermagy/b1db80c3dd4b22cb290ef47eca26031f.jpg
المشويات,صحن كباب لحم,28,https://images.taker.io/shawermagy/e1bb21c2902437b682a3ed515947fdd8.jpg
المشويات,Awsal plate,32,https://images.taker.io/shawermagy/1bded168431b14492480392ba717e2f2.jpg
المشويات,Shish tawook plate,32,https://images.taker.io/shawermagy/f0e9e0114119df943ffe3101b6ae6765.jpg
المشويات,Mixed grilled dish,32,https://images.taker.io/shawermagy/d7bf188b69bc958b95de8bcd0ea12555.jpg
كرانشي,Spicy Broasted,23,https://images.taker.io/shawermagy/097b36a3a767a267fd1330a5552bbcbd.jpg
كرانشي,Broasted,23,https://images.taker.io/shawermagy/52bd11ae81842642be0c3beea4e87eec.jpg
كرانشي,Crispy Cheetos,22,https://images.taker.io/shawermagy/fb0e93f680cea00ec8e39472b114a775.jpg
كرانشي,Crispya,20,https://images.taker.io/shawermagy/b3b7316bcbad52b601c995fdc7fb9e59.jpg
كرانشي,Spicy toast wrap,14,https://images.taker.io/shawermagy/cb1ebe9ea0267f14459de2060837e1b3.jpg
كرانشي,Smoky chicken,18,https://images.taker.io/shawermagy/9ed7b8b0dad763ea6af5133de900a969.jpg
كرانشي,Chicken Maple,18,https://images.taker.io/shawermagy/a08ab099a2b825a2138e44c39e04b453.jpg
كرانشي,toast wrap,13,https://images.taker.io/shawermagy/2a126e2776f86403272e29919b06fdd2.jpg
